Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
What describes the civil liberties derived from the Bill of Rights?,MCQ,They are things the government is not allowed to do.,The nominating conventionThey are things private corporations are not allowed to do.,The caucusThey are things the president must do for the people. convention,They are things citizens must do to live in the United States.,
What is the difference between civil liberties and civil rights?,MCQ,"Civil liberties are protections from the government, while civil rights are protections by the government.","Civil liberties are rights protected by the state governments, while civil rights are protected by the federal government.","Civil liberties apply to everyone, while civil rights apply only to United States citizens.","Civil liberties are passed by a constitutional amendment, while civil rights exist by Supreme Court rulings.",
In which types of cases would the Supreme Court use the rational basis test?,MCQ,Cases involving discrimination that do not involve protected classes of individuals,Cases related to workplace gender discrimination,Cases connected to discrimination against religious minorities,Cases concerning discrimination against Black people,
What did segregated educational institutions violate according to the Supreme Court ruling in Brown v. Board of Education of Topeka?,MCQ,The equal protection clause of the 14th Amendment,The precedent established in Regents of University of California v. Bakke,The necessary and proper clause of the 10th Amendment,The precedent established in Plessy v. Ferguson,
Which criminal justice issue is addressed by the courts under the Eighth Amendment?,MCQ,"Conditions related to capital punishment (i.e., the death penalty)",Informing someone of the right to remain silent,Protection from illegal searches and seizures of property,Providing attorneys for defendants that cannot afford one,
Which Supreme Court case set the precedent that defendants with low incomes must be provided legal counsel in felony cases?,MCQ,Gideon v. Wainwright,Powell v. Alabama,Miranda v. Arizona,Weems v. United States,
Which constitutional amendment protects people from illegal searches and seizures of property?,MCQ, Fourth Amendment,Sixth Amendment,Third Amendment,Fifth Amendment,
In which case did the Supreme Court rule that evidence obtained without a warrant and that does not fall under any exclusionary rule is inadmissible in court?,MCQ,Mapp v. Ohio,Lawrence v. Texas,Miranda v. Arizona,Gideon v. Wainwright,
What was the Supreme Court’s rationale for ruling a Pennsylvania program that helped fund the salaries of parochial school teachers unconstitutional in Lemon v. Kurtzman?,MCQ,The program violated the establishment clause because it would have created excessive government entanglement with religion.,The program did not have a sufficiently secular purpose since it indirectly supported free speech.,The program violated the Free Exercise Clause because the teachers' personal expressions could have been inhibited.,The program would have the primary effect of supporting due process because the funding would go to parochial schools.,
Which question is not part of the Miller test for obscenity that was developed by the Supreme Court in Miller v. California?,MCQ,Does the work depict male or female nudity?,Does the work lack serious artistic merit?,Does the material offensively depict sexual conduct?,Does the material violate community standards?,
What is not a requirement of the Supreme Court's Lemon test for deciding whether a law or other government action that might promote a particular religious practice should be allowed to stand?,MCQ,The action or law must not affect a large number of people.,The action or law must neither inhibit nor advance a religious practice.,The action or law must not lead to excessive government entanglement with religion.,The action or law must have some secular purpose.,
"In which case did the Supreme Court rule that Congress could regulate firearms that are not regularly used by the military because of an interpretation of the Second Amendment clause regarding a ""well-regulated militia""?",MCQ,United States v. Miller,United States v. Cruikshank,District of Columbia v. Heller,McDonald v. Chicago,
What describes the Supreme Court's ruling in Obergefell v. Hodges?,MCQ,It recognized that same-sex couples had the same protected civil liberty to marry nationwide as do heterosexual couples do and that states had to recognize other states’ validly issued marriage licenses.,It invalidated state sodomy laws that had made same-sex relationships illegal.,It invalidated state sodomy laws that had made illegal certain forms of intimate sexual contact between consenting adults illegal.,It limited the application of federal laws related to the adoption of Native American children.,
Which Supreme Court case held that married couples have the right to use birth control?,MCQ,Griswold v. Connecticut,Obergefell v. Hodges,Mississippi University for Women v. Hogan,Roe v. Wade,
Which case involved a challenge by the white nationalist Ku Klux Klan (KKK) organization to a state law that prohibited speech advocating for various illegal activities?,MCQ,Brandenburg v. Ohio,Mapp v. Ohio,Korematsu v. United States,Gideon v. Wainright,
