Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
What was at the heart of the debate over the Virginia and New Jersey Plans?,MCQ,A disagreement over the national government being representative of the people or of the states,An argument over the desirability of westward expansion,A concern over the adequacy of the new nation's ability to fend off foreign invasion,"The possibility that new states would be created, thus shifting political power within the system westward",The key distinction between these plans was whether the people or the states would be represented in the national government.
"Under the terms of the original Constitution, what would happen to enslaved people who escaped and fled to another state?",MCQ,They could be reclaimed by their owners and taken back.,They would be put to death if they fled across state lines.,They that cross state lines would be assigned to a new owner in the state in which they were apprehended.,They would be free unless they ever returned to the state from which they had escaped.,"The Fugitive Slave Clause (Article IV, Clause 3) allows owners of enslaved people to reclaim their human property in the states where enslaved people had fled."
Which compromise was struck during the Constitutional Convention over how enslaved people would be counted in a state’s population?,MCQ,The Three-Fifths Compromise,The Virginia Plan,The Great Compromise,The Fugitve Slave Clause,"This compromise, made after the Great Compromise, determined that the House of Representatives would be based on a state’s population. This compromise allowed for each enslaved person to be counted as 3/5 of a person for the purpose of calculating a state’s population."
"What was the effect of the Fugitive Slave Clause (Clause 3, Article IV of the Constitution)?",MCQ,It allowed owners to reclaim enslaved peoples even if they fled to other states.,It limited the ability of owners to retrieve enslaved peoples who had left the United States.,It allowed enslaved peoples to apply for amnesty if they reached states that were North of Virginia.,It limited the ability of owners to retrieve enslaved people who had left their state to flee to another state.,The Fugitive Slave Clause allowed owners to reclaim enslaved peoples even if they crossed state boundaries.
Which debate did the Great Compromise settle so that the Constitutional Convention could continue?,MCQ,The Great Compromise settled the debate between the large states and small states over state representation in the legislative branch,The Great Compromise settled the debate between Northern and Southern states over whether or not slavery would continue in the United States.,The Great Compromise settled the debate between Northern and Southern states over how enslaved people would be counted for the purpose of representation in Congress.,The Great Compromise settled the debate between the delegates who wanted to increase the powers of the national government and those who wanted to maintain state sovereignty.,These debates were addressed throughout the Constitution with separation of powers and checks and balances. The Great Compromise settled the debate between the New Jersey and Virginia Plans for state representation in the national legislature.
How do checks and balances keep the branches of government from abusing its power? Choose 2 answers.,SelectAll,"Checks and balances require the different branches of government to work together,Checks and balances allow each branch of government the ability to restrict other branches of government",Checks and balances require the national government to run a balanced budget every year.,,,"""Checks and balances require the different branches of government to work together."" is correct. Checks and balances require the different branches of government to work together, allowing each branch to restrict the others.
""Checks and balances allow each branch of government the ability to restrict other branches of government."" is correct. Checks and balances require the different branches of government to work together, allowing each branch to restrict the others."
The Great Compromise adopted variations from both the New Jersey and Virginia Plans regarding the power and structure of the national legislature. Which features of the Great Compromise correspond to the Virginia Plan? Choose 4 answers.,SelectAll,"The national government is a bicameral legislature consisting of two chambers,Senators are appointed rather than popularly elected,The House of Representatives has state representation that varies based on the size of a state's population,The national government was given increased powers",The Senate has equal representation regardless of population of the state.,State governments still have sovereignty over their individual states.,,"""Bicameral legislature consisting of two chambers"" is correct. Under the Virginia Plan, legislation would be made at the federal level.
""Senators are appointed rather than popularly elected."" is correct. Under the Virginia Plan, senators would be appointed by state legislatures.
""The House of Representatives has state representation that varies based on the size of a state's population."" is correct. The Virginia Plan argued for population-based representation.
""The National government given increased powers."" is correct. The Virginia Plan argued for federal government sovereignty."
How does Article I of the Constitution prevent the national government from engaging in taxation without representation? Choose 2 answers.,SelectAll,"All bills to raise revenue must begin in the House of Representatives,Both the House and Senate must approve of all revenue bills",It gives Congress the ability to borrow and coin money,There are no methods that limit taxation without representation,,"""It gives Congress the ability to borrow and coin money."" is incorrect. In fact, Article I prevents the government from ""taxation without representation"" by requiring that all revenue bills begin in the House of Representatives, where the members are popularly elected by the people, and that both the House and the Senate must approve the bills.
""Both the House and Senate must approve of all revenue bills."" is correct. Article I prevents the government from ""taxation without representation"" by requiring that all revenue bills begin in the House of Representatives, where the members are popularly elected by the people, and that both the House and the Senate must approve the bills."
How was slavery involved in the Constitutional Convention?,MCQ,"Representatives from the North were adamant that enslaved people not be counted towards a state's population, while Southerners insisted that they be counted.",The Act for the Gradual Abolition of Slavery was passed so that all enslaved children in the United States would become indentured children to be set free at the age of 28.,The North and South viewed the inclusion of enslaved people in a state's population similarly.,,"Southern states understood that without enslaved people being counted as a part of their population, their representation in the House of Representatives would be severely diminished."
What are specific powers given to Congress in Article I of the Constitution? Choose 3 answers.,SelectAll,"The power to tax,The power to regulate trade and commerce,The power to declare war",The power to declare laws and actions unconstitutional,,,"""The power to tax"" is correct. Congress was given the power to collect taxes, regulate trade and commerce, and declare war.
""The power to regulate trade and commerce"" is correct. Congress was given the power to collect taxes, regulate trade and commerce, and declare war.
""The power to declare laws and actions unconstitutional"" is incorrect. Actually, Congress was given the power to collect taxes, regulate trade and commerce, and declare war."
