Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
Which of the following did John Locke view as the most important protection(s) under the social contract?,MCQ,Liberty and property,The general will,Life,Security,John Locke believed that liberty and property are both natural rights and it is the government's job to protect them.
Which of these accurately describes John Locke's view of the state of nature?,MCQ,The state of nature was peaceful and consisted of rational human beings,The state of nature is better than organized society, The state of nature creates insecurity among the people,The state of nature was a war against all,"Even though this was John Locke's belief, he also argued that life in the state of nature was ""inconvenient."""
"According to John Locke, how much authority should society have over its citizens under the social contract?",MCQ,Limited authority,Total authority,Locke did not believe in the social contract.,No authority,Locke believed that the social contract should provide a society in which the society has no more power than is necessary to regulate the natural rights and co-existence of its citizens.
What is it called when people make an agreement between themselves and the government?,MCQ,A social contract,The state of nature,Natural rights,Balance of power,"In general, a contract is an agreement between two parties. The terms of the agreement between a government and its people are an ongoing negotiation."
"According to the social contract theory, what is the origin of society?",MCQ,Society is created by humans to resolve the problems they face,"Society is a hypothetical state of human existence, useful for developing philosophical arguments",Society is a natural expression of human existence,Society is mandated by the will of God,Social contract theory argues that we create society to meet particular needs we individually possess and share with others.
Which three statements describe characteristics of a social contract?,SelectAll,"Provides a definition of human nature,Specifies the natural rights that are to be protected,Describes the shared interests of the citizens",Is a manifestation of the will of God,,,"""Provides a definition of human nature"" is correct. Social contacts reflect who we are, the rights we possess, and the interests we share. Social contracts define us as human.
""Specifies the natural rights that are to be protected"" is correct. Social contacts reflect who we are, the rights we possess, and the interests we share. Social contracts define us as human.
""Describes the shared interests of the citizens"" is correct. Social contacts reflect who we are, the rights we possess, and the interests we share. Social contracts define us as human."
Which two statements explain why the state of nature is important for creating a social contract?,SelectAll,"The state of nature defines what it means to be human,The state of nature defines natural rights",The state of nature demonstrates what an ideal social contract should look like.,The state of nature is fictional and offers nothing meaningful for creating a social contract.,,"""The state of nature defines what it means to be human"" is correct. Society should be a reflection of what it means to be human, and natural rights must be acknowledged and protected in a social contract.
""The state of nature defines natural rights"" is correct. Society should be a reflection of what it means to be human, and natural rights must be acknowledged and protected in a social contract."
Which two statements describe why it's important to know what the quality of life is like in the state of nature?,SelectAll,"It explains the incentive for working cooperatively with others,It helps to frame the type of social contract that is needed to make individual lives better",It provides a utopian goal for society to try to obtain,It provides the basis for measuring human progress,,"""It explains the incentive for working cooperatively with others"" is correct. How bad or good life is in the state of nature will guide the need to cooperate with others, and the subsequent social contract will help overcome the drawbacks experienced in the state of nature.
""It helps to frame the type of social contract that is needed to make individual lives better"" is correct. How bad or good life is in the state of nature will guide the need to cooperate with others, and the subsequent social contract will help overcome the drawbacks experienced in the state of nature."
What is the purpose of a social contract?,MCQ,To acknowledge and protect natural rights,To create natural rights,To realize the will of God,,Social contracts are created to acknowledge and protect natural rights.
What is an important weakness of a social contract?,MCQ,Social contracts require consensus,Social contracts are fixed,Social contracts do not aspire to create a perfect moral order,All social contracts eventually fail,"Consensus is difficult to obtain in any society, which makes social contracts difficult to implement."
Which two statements are true about natural rights?,SelectAll,"They let you do what you need to do to survive and be secure,They provide equality among all people",They require the creation of democratic government,They are given by the government and not God,,"""They let you do what you need to survive and be secure"" is correct. Since all people share the same set of natural rights given by God, they cannot be interfered with by a government.
""They provide equality among all people"" is correct. Since all people share the same set of natural rights given by God, they cannot be interfered with by a government."
Which two statements are true concerning the state of nature?,SelectAll,"Permits a philosophical definition of human nature,Is a thought experiment upon which definitions of proper society and government are built",Describes the relationship between human beings and animals,Suggests that human beings are naturally social,,"""Permits a philosophical definition of human nature"" is correct. Enlightenment philosophers used the state of nature to define human nature and argued for a proper society and government based on that nature.
""Is a thought experiment upon which definitions of proper society and government are built"" is correct. Enlightenment philosophers used the state of nature to define human nature and argued for a proper society and government based on that nature."
Which two conditions are required for a social contract to work?,SelectAll,"Consensus among those whom the social contract applies to,Uniformity of ability and purpose among those who agree to the social contract",A commitment to toleration,The desire for a utopian society among those who want the social contract,,"""Consensus among those whom the social contract applies to"" is correct. The conditions needed for a social contract to work include consensus among those involved in the social contract and a uniformity of ability and purpose among those who agree to it.
""Uniformity of ability and purpose among those who agree to the social contract"" is correct. The conditions needed for a social contract to work include consensus among those involved in the social contract and a uniformity of ability and purpose among those who agree to it."
