Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
Which election-cycle event allows registered party members to participate in the selection of a congressional nominee?,MCQ,The closed primary,The nominating convention,The caucus convention,The open primary,
Which election cycle event do delegates assemble at to select a presidential candidate?,MCQ,A nominating convention,A king caucus,A primary,A caucus convention,
What established the requirement that candidates disclose the source of campaign contributions?,MCQ,Federal Election Campaign Act,Citizens United v. Federal Election Commission,Bipartisan Campaign Reform Act,Buckley v. Valeo,
What is an effect of gerrymandering districts?,MCQ,Safe seats are created due to unnatural boundaries.,Minority parties gain increased political influence.,Voter turnout and political engagement increase.,House races become less partisan than Senate races.,
What is generally true of primary voters?,MCQ,They tend to be on more extreme ends of the political spectrum.,They are on average younger than general election voters.,They tend to be unaffected by political campaign ads.,They usually have very low levels of political engagement.,
Which policy would be most likely to be supported by a public interest group?,MCQ,Increased spending on infrastructure projects.,Voucher programs to help people with low incomes purchase automobiles.,Protections from lawsuits for drug manufacturers.,Tax deductions for real estate developers.,
What describes the difference between a political action committee (PAC) and a Super PAC?,MCQ,A PAC can give money directly to a candidate but a Super PAC cannot.,A PAC can spend more money on campaigns than a Super PAC.,A Super PAC can give more money directly to a candidate than a PAC.,A Super PAC can buy television campaign ads but a PAC cannot.,
Which type of interest group would lobby for increased accountability of congressional members?,MCQ,A public interest group,An issue-oriented interest group,A government interest group,A private interest group,
What are lobbyists attempting to influence when they submit amicus briefs?,MCQ,Supreme Court decisions,Executive appointments,Congressional legislation,Executive agreements,
Which scenario describes a person making a decision based on prospective voting?,MCQ,An individual examines a candidate's voting record to predict how the candidate might respond to a future crisis.,An individual researches a political party's donor list for evidence of interest-group influence.,An individual analyzes a candidate's personal history as a way to determine their moral character.,An individual researches how a candidate voted on a bill to bail out banks during a past mortgage crisis.,
Which factor contributes to low political participation of young Americans in local elections?,MCQ,Many young Americans attend a college that is not in the district where they are registered.,Most young Americans prefer to express political activism through civil organizations rather than through voting.,Young Americans tend to be uninformed about the issues because of reliance on online news sources.,Many young Americans are barred from voting due to the change in age requirements under the 26th Amendment.,
What is an advantage incumbents have when competing for votes against political opponents?,MCQ,Incumbents have greater name recognition among voters., Incumbents are less interested in getting elected than challengers are., Incumbents do not have voting records to promote during a campaign.,Incumbents have less access to mass media outlets.,
"This case centered on the question of whether campaign finance laws that limited individual campaign contributions, total campaign spending, and candidate use of their own money in their campaign were a violation of the 1st amendment freedom of speech.",MCQ,Buckley v. Valeo,Griswold v. Connecticut,Citizens United v. Federal Election Commission,Branzburg v. Hayes,
This case led to the removal of spending limits on corporations and allowed large amounts of private soft money to be contributed to campaigns again.,MCQ,Citizens United v. Federal Election Commission,Marbury v. Madison,"Burwell v. Hobby Lobby Stores, Inc.",Buckley v. Valeo,
Which statement about candidate fundraising is true?,MCQ,Members of the House and Senate spend a large amount of time fundraising.,Contributions to candidates are lightly regulated as a result of Supreme Court decisions.,"Special interests, such as PACs, contribute the majority of money raised by candidates.",Fundraising by candidates has been a concern since the beginning of the republic.,It's been suggested that members of the House and Senate devote more time to it than the job they were elected to do.
What's the difference between hard money and soft money?,MCQ,"Hard money is spent by a candidate or campaign, while soft money is spent by a political action committee.","Hard money is received by a campaign, while soft money is pledged to a campaign.",Campaigns use hard money to pay for staffing and expenses and use soft money for efforts to influence voters.,"Hard money is contributed to a candidate or campaign, while soft money is spent by a Super PAC.","Hard money directly relates to the candidate or campaign, whereas soft money is spent by PACs."
What is the name of an entity formed by an interest group to raise money and make contributions to political candidates and parties?,MCQ,Political action committee (PAC),Bundlers,Super PAC,Special interest groups,A Political Action Committee is the legal entity through which an interest group can legally make contributions.
What is the largest amount of money a political action committee can contribute per candidate per election?,MCQ,"$5,000","$2,800","$10,000","$1,000",This is the legal limit for a PAC (in 2002 dollars).
How did the ruling in Plessy v. Ferguson serve as a restriction on individual rights?,MCQ,"The ruling allowed for separation based on race in public facilities, which limited what Black people could do and where and how they could travel.",The ruling allowed for greater equality among different racial groups in the United States.,The ruling classified who would be considered a person of color in the United States.,The ruling mandated that segregation was a violation of the 14th Amendment.,"Since the Supreme Court ruled that segregation was not a violation of the 14th Amendment, this allowed states to regulate what people of color could do in public spaces and how they could get there. Examples include mandating that people of color ride in the back of any mode of public transport."
