Question,Type,CorrectAnswer,Option1,Option2,Option3,Reason
What describes the minimal effects theory developed during the 1930s?,MCQ,News shared by friends is filtered through their perspectives and has a minimal effect on voters.,A candidate's personal life has a minimal effect on voters' choices.,Political discussions at home by parents have a minimal effect on the views of their children.,Campaign spending on political ads has a minimal effect on election results.,
"Which situation is an example of the government exercising prior restraint?",MCQ,Forcing a newspaper to remove the names of covert agents in a story about the Central Intelligence Agency (CIA) before it is printed,Preventing a network from broadcasting a story about corruption from a government whistleblower,Restricting access to government documents to a journalist researching news stories,Limiting the number of questions that can be asked during a presidential news briefing,
Which form of influence can the media use to cause active political debate on an issue?,MCQ,Agenda setting,Priming,Direct persuasion,Framing,
Which statement is true about the general political beliefs of major American demographic groups?,MCQ,Men tend to be more politically conservative than women.,Women tend to be more politically conservative than men.,Black people are more likely to vote Republican than Asian Americans.,Catholics tend to be more politically liberal than most Americans.,
Which political belief is associated with modern conservatism?,MCQ,The government should do little to intervene in the national economy.,The government should take strong control of the national economy.,The government should do little to restrict individual liberty.,The government should focus on creating greater social equality.,
Which role do schools generally play in the political socialization of young people?,MCQ,They provide information on U.S. history and civics.,They provide peers to teach political ideology.,They provide the first introduction to politics.,They provide political party indoctrination.,
Which of these theories states that the media has little or no effect on public opinion?,MCQ,The minimal effects theory,The media bias theory,The cultivation theory,The hypodermic theory,"Minimal effects theory holds that media can have some effects on people, but it doesn't have the kind of total control posited by hypodermic theory."
"The term ""pack journalism"" describes the tendency of journalists to_____________.",MCQ,report on the same topics as their peers rather than uncovering new and interesting items that would require more difficult original work,always travel in pairs,go on long trips to cover political candidates where they have to pack considerable amounts of clothing and gear,provide only negative coverage of candidates instead of also including discussion of candidates' positive aspects,Decreasing budgets (especially for print journalists) have contributed to these trends since original investigative reporting is costly and time-consuming.
The need to create a cohesive message from all parts of the executive branch led to creating the position of the ___________.,MCQ,White House Office of Communications,Speaker of the House,White House muckraker,Senate press secretary,"This office, along with the White House Press Secretary, were created to help generate consistent messaging from the executive branch."
Which theory about the media suggests that what people see or read creates their own perception of reality?,MCQ,Cultivation theory,Hypodermic theory,Minimal effects theory,Political education theory,"This theory suggests that media, over time, provides a frame of reference that viewers can use in evaluating information."
